indexNo,week,day,date,time,room,moduleCode,moduleName,lecturer,year,programme,class,totalStudentNum,studentNumInClassroom,percent,by,remark
1,1,Monday,2-Mar,13:00-14:35,3-546,EBU5477,Embedded Systems,MaM,3,IoT2,14-16,90,0,0,,
2,1,Monday,2-Mar,14:45-16:25,3-546,EBU6304,Software Engineering,GG,3,IoT,11-16,180,0,0,,
3,1,Monday,2-Mar,14:45-16:25,3-539,EBU6307,Visual Computing,MSH,3,IST,21-24,100,0,0,,
4,1,Monday,2-Mar,14:45-16:25,3-537,EBU6304,Software Engineering,LM,3,Tele-G2,6-10,150,0,0,,
5,1,Monday,2-Mar,14:45-16:25,3-535,EBU4211,Object-Oriented Programming,HA,2,IoT2,14-16,90,0,0,,
6,1,Monday,2-Mar,14:45-16:25,3-437,EBU4211,Object-Oriented Programming,PP,2,Tele-G2,6-10,150,0,0,,
7,1,Monday,2-Mar,14:45-16:25,3-435,EBU4211,Object-Oriented Programming,CL,2,EIE,17-20,100,0,0,,
8,1,Monday,2-Mar,14:45-16:25,3-333,EBU6305,Interactive Media Design and Production,XC,3,EIE,17-20,100,0,0,,
9,1,Monday,2-Mar,16:35-18:10,3-546,EBU5477,Embedded Systems,MaM,3,IoT1,11-13,90,0,0,,
10,1,Monday,2-Mar,16:35-18:10,3-540,EBU4211,Object-Oriented Programming,CL,2,IST,21-24,100,0,0,,
11,1,Monday,2-Mar,16:35-18:10,3-539,EBU6304,Software Engineering,MSH,3,IST,21-24,100,0,0,,
12,1,Monday,2-Mar,16:35-18:10,3-537,EBU6304,Software Engineering,LM,3,EIE,17-20,100,0,0,,
13,1,Monday,2-Mar,16:35-18:10,3-535,EBU4211,Object-Oriented Programming,PP,2,Tele-G1,1-5,150,0,0,,
14,1,Monday,2-Mar,16:35-18:10,3-437,EBU6304,Software Engineering,GG,3,Tele-G1,1-5,150,0,0,,
15,1,Monday,2-Mar,16:35-18:10,3-435,EBU5315,Interactive Media Design and Production,XC,2,EIE,17-20,100,0,0,,
16,1,Monday,2-Mar,16:35-18:10,3-333,EBU4211,Object-Oriented Programming,HA,2,IoT1,11-13,90,0,0,,
17,1,Monday,2-Mar,18:30-19:15,3-435,EBU4211,Object-Oriented Programming,PP,2,Tele-G1,1-5,150,0,0,,Tutorial
18,1,Tuesday,3-Mar,13:00-14:35,3-537,EBU6304,Software Engineering,LM,3,EIE,17-20,100,0,0,,
19,1,Tuesday,3-Mar,13:00-14:35,3-535,EBU6304,Software Engineering,MSH,3,IST,21-24,100,0,0,,
20,1,Tuesday,3-Mar,13:00-14:35,3-437,EBU6304,Software Engineering,GG,3,Tele-G1,1-5,150,0,0,,
21,1,Tuesday,3-Mar,13:00-14:35,3-435,EBU5315,Interactive Media Design and Production,XC,2,EIE,17-20,100,0,0,,
22,1,Tuesday,3-Mar,13:00-14:35,3-433,EBU4211,Object-Oriented Programming,HA,2,IoT1,11-13,90,0,0,,
23,1,Tuesday,3-Mar,13:00-14:35,3-417,EBU4211,Object-Oriented Programming,CL,2,IST,21-24,100,0,0,,
24,1,Tuesday,3-Mar,13:00-14:35,3-337,EBU5477,Embedded Systems,MaM,3,IoT1,11-13,90,0,0,,
25,1,Tuesday,3-Mar,13:00-14:35,3-335,EBU4211,Object-Oriented Programming,PP,2,Tele-G1,1-5,150,0,0,,
26,1,Tuesday,3-Mar,14:45-16:25,3-535,EBU4211,Object-Oriented Programming,HA,2,IoT2,14-16,90,0,0,,
27,1,Tuesday,3-Mar,14:45-16:25,3-437,EBU4211,Object-Oriented Programming,PP,2,Tele-G2,6-10,150,0,0,,
28,1,Tuesday,3-Mar,14:45-16:25,3-435,EBU4211,Object-Oriented Programming,CL,2,EIE,17-20,100,0,0,,
29,1,Tuesday,3-Mar,14:45-16:25,3-433,EBU5477,Embedded Systems,MaM,3,IoT2,14-16,90,0,0,,
30,1,Tuesday,3-Mar,16:35-18:10,3-435,EBU6304,Software Engineering,LM,3,Tele-G2,6-10,150,0,0,,
31,1,Tuesday,3-Mar,16:35-18:10,3-337,EBU6307,Visual Computing,MSH,3,IST,21-24,100,0,0,,
32,1,Tuesday,3-Mar,16:35-18:10,3-335,EBU6305,Interactive Media Design and Production,XC,3,EIE,17-20,100,0,0,,
33,1,Tuesday,3-Mar,16:35-18:10,3-333,EBU6304,Software Engineering,GG,3,IoT,11-16,180,0,0,,
34,1,Tuesday,3-Mar,18:30-19:15,3-337,EBU6307,Visual Computing,MSH,3,IST,21-24,100,0,0,,Tutorial
35,1,Tuesday,3-Mar,18:30-19:15,3-335,EBU6305,Interactive Media Design and Production,XC,3,EIE,17-20,100,0,0,,Tutorial
36,1,Tuesday,3-Mar,18:30-19:15,3-333,EBU6304,Software Engineering,GG,3,IoT,11-16,180,0,0,,Tutorial
37,1,Wednesday,4-Mar,08:00-09:35,3-546,EBU6307,Visual Computing,MSH,3,IST,21-24,100,0,0,,
38,1,Wednesday,4-Mar,08:00-09:35,3-537,EBU6305,Interactive Media Design and Production,XC,3,EIE,17-20,100,0,0,,
39,1,Wednesday,4-Mar,08:00-09:35,3-535,EBU6304,Software Engineering,GG,3,IoT,11-16,180,0,0,,
40,1,Wednesday,4-Mar,08:00-09:35,3-437,EBU4211,Object-Oriented Programming,PP,2,Tele-G2,6-10,150,0,0,,
41,1,Wednesday,4-Mar,08:00-09:35,3-435,EBU4211,Object-Oriented Programming,HA,2,IoT2,14-16,90,0,0,,
42,1,Wednesday,4-Mar,08:00-09:35,3-335,EBU6304,Software Engineering,LM,3,Tele-G2,6-10,150,0,0,,
43,1,Wednesday,4-Mar,09:50-11:25,3-546,EBU6304,Software Engineering,MSH,3,IST,21-24,100,0,0,,
44,1,Wednesday,4-Mar,09:50-11:25,3-535,EBU5477,Embedded Systems,MaM,3,IoT1,11-13,90,0,0,,
45,1,Wednesday,4-Mar,09:50-11:25,3-437,EBU6304,Software Engineering,GG,3,Tele-G1,1-5,150,0,0,,
46,1,Wednesday,4-Mar,09:50-11:25,3-435,EBU4211,Object-Oriented Programming,PP,2,Tele-G1,1-5,150,0,0,,
47,1,Wednesday,4-Mar,09:50-11:25,3-433,EBU4211,Object-Oriented Programming,HA,2,IoT1,11-13,90,0,0,,
48,1,Wednesday,4-Mar,09:50-11:25,3-335,EBU6304,Software Engineering,LM,3,EIE,17-20,100,0,0,,
49,1,Wednesday,4-Mar,09:50-11:25,3-333,EBU5315,Interactive Media Design and Production,XC,2,EIE,17-20,100,0,0,,
50,1,Wednesday,4-Mar,13:00-14:35,3-433,EBU5477,Embedded Systems,MaM,3,IoT2,14-16,90,0,0,,
51,1,Wednesday,4-Mar,13:00-14:35,3-417,EBU4211,Object-Oriented Programming,CL,2,IST,21-24,100,0,0,,
52,1,Wednesday,4-Mar,14:45-16:25,3-435,EBU4211,Object-Oriented Programming,CL,2,EIE,17-20,100,0,0,,
53,1,Wednesday,4-Mar,16:35-17:20,3-437,EBU4211,Object-Oriented Programming,CL,2,IST,21-24,100,0,0,,Tutorial
54,1,Thursday,5-Mar,09:50-11:25,3-535,EBU6304,Software Engineering,GG,3,IoT,11-16,180,0,0,,
55,1,Thursday,5-Mar,09:50-11:25,3-437,EBU4211,Object-Oriented Programming,PP,2,Tele-G2,6-10,150,0,0,,
56,1,Thursday,5-Mar,09:50-11:25,3-435,EBU4211,Object-Oriented Programming,CL,2,EIE,17-20,100,0,0,,
57,1,Thursday,5-Mar,09:50-11:25,3-433,EBU4211,Object-Oriented Programming,HA,2,IoT2,14-16,90,0,0,,
58,1,Thursday,5-Mar,09:50-11:25,3-337,EBU6304,Software Engineering,LM,3,Tele-G2,6-10,150,0,0,,
59,1,Thursday,5-Mar,09:50-11:25,3-335,EBU6307,Visual Computing,MSH,3,IST,21-24,100,0,0,,
60,1,Thursday,5-Mar,09:50-11:25,3-317,EBU6305,Interactive Media Design and Production,XC,3,EIE,17-20,100,0,0,,
61,1,Thursday,5-Mar,11:30-12:15,3-437,EBU4211,Object-Oriented Programming,PP,2,Tele-G2,6-10,150,0,0,,Tutorial
62,1,Thursday,5-Mar,11:30-12:15,3-435,EBU5315,Interactive Media Design and Production,XC,2,EIE,17-20,100,0,0,,Tutorial
63,1,Thursday,5-Mar,11:30-12:15,3-433,EBU6304,Software Engineering,GG,3,Tele-G1,1-5,150,0,0,,Tutorial
64,1,Thursday,5-Mar,11:30-12:15,3-337,EBU4211,Object-Oriented Programming,HA,2,IoT1,11-13,90,0,0,,Tutorial
65,1,Thursday,5-Mar,13:00-14:35,3-539,EBU6304,Software Engineering,MSH,3,IST,21-24,100,0,0,,
66,1,Thursday,5-Mar,13:00-14:35,3-537,EBU5477,Embedded Systems,MaM,3,IoT1,11-13,90,0,0,,
67,1,Thursday,5-Mar,13:00-14:35,3-535,EBU6304,Software Engineering,GG,3,Tele-G1,1-5,150,0,0,,
68,1,Thursday,5-Mar,13:00-14:35,3-519,EBU6304,Software Engineering,LM,3,EIE,17-20,100,0,0,,
69,1,Thursday,5-Mar,13:00-14:35,3-437,EBU5315,Interactive Media Design and Production,XC,2,EIE,17-20,100,0,0,,
